Purchase Date,Product Name,Price,Category
2015-09-19,Golf Balls (Pack of 12),20.72,Sports
2018-10-07,Smartphone,800.61,Electronics
2023-11-24,Laptop,999.16,Electronics
2015-05-14,Tablet,500.37,Household
2018-11-10,Smartwatch,249.34,Electronics
2015-11-26,Bluetooth Speaker,99.16,Electronics
2023-09-17,Noise-Cancelling Headphones,199.44,Electronics
2019-06-21,4K Blu-ray Player,150.07,Entertainment
2020-11-02,DSLR Camera,700.32,Electronics
2015-08-19,Gaming Console,499.65,Entertainment
2021-05-20,E-Reader,130.14,Entertainment
2018-12-13,Winter Jacket,119.97,Household
2019-06-04,Running Shoes,90.39,Necessities
2020-06-10,Jeans,59.29,Clothing
2015-02-27,T-Shirt,19.74,Clothing
2016-11-08,Dress,80.44,Clothing
2016-10-13,Sweater,49.42,Clothing
2017-11-09,Hat,25.2,Household
2020-02-18,Scarf,30.29,Clothing
2023-11-12,Gloves,19.58,Household
2022-10-21,Socks (Pack of 5),14.3,Clothing
2023-01-24,Microwave Oven,150.1,Electronics
2015-10-10,Vacuum Cleaner,199.59,Household
2022-12-17,Blender,59.08,Electronics
2022-01-24,Electric Kettle,29.5,Electronics
2021-05-24,Toaster,23.96,Household
2018-05-24,Coffee Maker,49.7,Household
2018-11-10,Iron,38.97,Household
2021-06-17,Air Purifier,149.14,Electronics
2019-03-23,Stand Mixer,300.34,Electronics
2017-03-06,Dish Soap,3.9,Household
2015-01-08,Movie Tickets (2),25.04,Entertainment
2022-05-26,Board Game,34.99,Necessities
2020-01-09,Streaming Service Subscription (Monthly),12.97,Household
2023-03-16,Concert Ticket,90.21,Entertainment
2015-05-22,Book,15.32,Household
2017-06-09,Video Game,59.89,Entertainment
2020-06-03,Puzzle,19.14,Necessities
2015-11-10,Magazine Subscription (Yearly),29.43,Electronics
2019-01-01,Music Instrument,500.66,Electronics
2019-08-28,Art Supplies,24.02,Necessities
2020-01-20,Groceries,99.99,Necessities
2019-10-21,Toothpaste,3.2,Necessities
2016-10-28,Shampoo,5.98,Necessities
2017-01-06,Toilet Paper (12 rolls),7.04,Household
2017-05-08,Laundry Detergent,10.71,Clothing
2017-04-02,Hand Soap,3.72,Household
2022-03-15,Deodorant,4.09,Necessities
2019-10-17,First Aid Kit,20.03,Necessities
2019-02-18,Batteries (Pack of 4),5.85,Electronics
2023-06-28,Light Bulbs (Pack of 4),7.03,Electronics
2017-07-18,Soccer Ball,25.49,Sports
2015-08-14,Basketball,30.56,Sports
2020-04-02,Tennis Racket,59.72,Sports
2016-11-09,Yoga Mat,19.58,Necessities
2019-03-15,Dumbbells (Pair),40.26,Clothing
2017-06-27,Bicycle Helmet,50.75,Clothing
2022-09-24,Running Shorts,23.58,Clothing
2017-05-02,Swim Goggles,14.62,Clothing
2019-12-22,Baseball Glove,59.45,Sports
2016-11-17,Golf Balls (Pack of 12),20.72,Sports
2015-04-07,Smartphone,800.61,Electronics
2020-04-27,Laptop,999.16,Electronics
2020-07-13,Tablet,500.37,Household
2017-08-03,Smartwatch,249.34,Electronics
2022-04-03,Bluetooth Speaker,99.16,Electronics
2023-10-11,Noise-Cancelling Headphones,199.44,Electronics
2018-11-20,4K Blu-ray Player,150.07,Entertainment
2020-01-15,DSLR Camera,700.32,Electronics
2023-12-07,Gaming Console,499.65,Entertainment
2015-02-07,E-Reader,130.14,Entertainment
2018-08-25,Winter Jacket,119.97,Household
2017-07-17,Running Shoes,90.39,Necessities
2017-05-25,Jeans,59.29,Clothing
2018-03-24,T-Shirt,19.74,Clothing
2018-04-12,Dress,80.44,Clothing
2022-04-03,Sweater,49.42,Clothing
2020-06-16,Hat,25.2,Household
2015-09-04,Scarf,30.29,Clothing
2016-12-25,Gloves,19.58,Household
2017-03-14,Socks (Pack of 5),14.3,Clothing
2022-12-09,Microwave Oven,150.1,Electronics
2022-06-18,Vacuum Cleaner,199.59,Household
2020-05-06,Blender,59.08,Electronics
2015-06-23,Electric Kettle,29.5,Electronics
2019-06-20,Toaster,23.96,Household
2018-09-19,Coffee Maker,49.7,Household
2022-02-11,Iron,38.97,Household
2020-01-13,Air Purifier,149.14,Electronics
2017-01-27,Stand Mixer,300.34,Electronics
2017-07-03,Dish Soap,3.9,Household
2018-03-17,Movie Tickets (2),25.04,Entertainment
2018-05-17,Board Game,34.99,Necessities
2018-09-04,Streaming Service Subscription (Monthly),12.97,Household
2018-01-08,Concert Ticket,90.21,Entertainment
2016-11-12,Book,15.32,Household
2016-07-20,Video Game,59.89,Entertainment
2016-06-18,Puzzle,19.14,Necessities
2020-10-16,Magazine Subscription (Yearly),29.43,Electronics
2018-06-08,Music Instrument,500.66,Electronics
2017-03-20,Art Supplies,24.02,Necessities
2017-07-27,Groceries,99.99,Necessities
2016-12-09,Toothpaste,3.2,Necessities
2020-02-08,Shampoo,5.98,Necessities
2021-02-08,Toilet Paper (12 rolls),7.04,Household
2023-04-16,Laundry Detergent,10.71,Clothing
2022-05-06,Hand Soap,3.72,Household
2016-04-11,Deodorant,4.09,Necessities
2017-11-25,First Aid Kit,20.03,Necessities
2023-01-15,Batteries (Pack of 4),5.85,Electronics
2017-11-23,Light Bulbs (Pack of 4),7.03,Electronics
2017-11-05,Soccer Ball,25.49,Sports
2022-10-09,Basketball,30.56,Sports
2020-01-25,Tennis Racket,59.72,Sports
2018-09-06,Yoga Mat,19.58,Necessities
2021-03-07,Dumbbells (Pair),40.26,Clothing
2019-11-11,Bicycle Helmet,50.75,Clothing
2023-07-01,Running Shorts,23.58,Clothing
2019-08-25,Swim Goggles,14.62,Clothing
2015-10-17,Baseball Glove,59.45,Sports
2020-09-15,Golf Balls (Pack of 12),20.72,Sports
2019-03-12,Smartphone,800.61,Electronics
2017-11-08,Laptop,999.16,Electronics
2016-11-10,Tablet,500.37,Household
2023-06-23,Smartwatch,249.34,Electronics
2018-07-25,Bluetooth Speaker,99.16,Electronics
2015-11-09,Noise-Cancelling Headphones,199.44,Electronics
2015-03-01,4K Blu-ray Player,150.07,Entertainment
2021-02-26,DSLR Camera,700.32,Electronics
2020-05-25,Gaming Console,499.65,Entertainment
2022-05-08,E-Reader,130.14,Entertainment
2020-09-05,Winter Jacket,119.97,Household
2019-09-14,Running Shoes,90.39,Necessities
2017-03-14,Jeans,59.29,Clothing
2023-08-05,T-Shirt,19.74,Clothing
2016-04-14,Dress,80.44,Clothing
2018-08-24,Sweater,49.42,Clothing
2015-05-14,Hat,25.2,Household
2023-10-26,Scarf,30.29,Clothing
2020-04-14,Gloves,19.58,Household
2022-02-28,Socks (Pack of 5),14.3,Clothing
2022-10-06,Microwave Oven,150.1,Electronics
2018-07-10,Vacuum Cleaner,199.59,Household
2023-07-13,Blender,59.08,Electronics
2023-03-05,Electric Kettle,29.5,Electronics
2017-11-24,Toaster,23.96,Household
2016-03-19,Coffee Maker,49.7,Household
2021-11-11,Iron,38.97,Household
2020-02-21,Air Purifier,149.14,Electronics
2020-02-26,Stand Mixer,300.34,Electronics
2023-10-07,Dish Soap,3.9,Household
2022-06-16,Movie Tickets (2),25.04,Entertainment
2019-09-27,Board Game,34.99,Necessities
2020-06-17,Streaming Service Subscription (Monthly),12.97,Household
2023-06-20,Concert Ticket,90.21,Entertainment
2018-05-18,Book,15.32,Household
2020-06-21,Video Game,59.89,Entertainment
2017-05-23,Puzzle,19.14,Necessities
2017-10-20,Magazine Subscription (Yearly),29.43,Electronics
2016-05-12,Music Instrument,500.66,Electronics
2023-12-16,Art Supplies,24.02,Necessities
2020-05-21,Groceries,99.99,Necessities
2021-12-23,Toothpaste,3.2,Necessities
2021-02-11,Shampoo,5.98,Necessities
2023-10-19,Toilet Paper (12 rolls),7.04,Household
2021-02-06,Laundry Detergent,10.71,Clothing
2016-05-05,Hand Soap,3.72,Household
2020-07-17,Deodorant,4.09,Necessities
2015-08-09,First Aid Kit,20.03,Necessities
2019-07-28,Batteries (Pack of 4),5.85,Electronics
2020-05-01,Light Bulbs (Pack of 4),7.03,Electronics
2017-11-23,Soccer Ball,25.49,Sports
2023-01-27,Basketball,30.56,Sports
2016-03-07,Tennis Racket,59.72,Sports
2015-03-03,Yoga Mat,19.58,Necessities
2022-08-21,Dumbbells (Pair),40.26,Clothing
2019-02-14,Bicycle Helmet,50.75,Clothing
2017-04-07,Running Shorts,23.58,Clothing
2022-06-28,Swim Goggles,14.62,Clothing
2020-04-03,Baseball Glove,59.45,Sports
2020-04-15,Golf Balls (Pack of 12),20.72,Sports
2020-06-16,Smartphone,800.61,Electronics
2023-10-28,Laptop,999.16,Electronics
2018-08-23,Tablet,500.37,Household
2019-07-11,Smartwatch,249.34,Electronics
2020-02-20,Bluetooth Speaker,99.16,Electronics
2016-08-05,Noise-Cancelling Headphones,199.44,Electronics
2016-06-28,4K Blu-ray Player,150.07,Entertainment
2017-12-27,DSLR Camera,700.32,Electronics
2023-01-27,Gaming Console,499.65,Entertainment
2018-07-27,E-Reader,130.14,Entertainment
2018-06-04,Winter Jacket,119.97,Household
2019-02-05,Running Shoes,90.39,Necessities
2020-04-24,Jeans,59.29,Clothing
2021-11-16,T-Shirt,19.74,Clothing
2017-08-26,Dress,80.44,Clothing
2021-01-15,Sweater,49.42,Clothing
2015-12-19,Hat,25.2,Household
2019-10-19,Scarf,30.29,Clothing
2018-02-06,Gloves,19.58,Household
2023-11-21,Socks (Pack of 5),14.3,Clothing
2020-10-04,Microwave Oven,150.1,Electronics
2020-04-06,Vacuum Cleaner,199.59,Household
2018-01-15,Blender,59.08,Electronics
2022-05-18,Electric Kettle,29.5,Electronics
2018-01-25,Toaster,23.96,Household
2017-11-20,Coffee Maker,49.7,Household
2023-12-13,Iron,38.97,Household
2021-06-20,Air Purifier,149.14,Electronics
2018-02-03,Stand Mixer,300.34,Electronics
2021-12-05,Dish Soap,3.9,Household
2017-09-12,Movie Tickets (2),25.04,Entertainment
2020-07-09,Board Game,34.99,Necessities
2020-02-20,Streaming Service Subscription (Monthly),12.97,Household
2019-09-16,Concert Ticket,90.21,Entertainment
2020-01-15,Book,15.32,Household
2019-10-28,Video Game,59.89,Entertainment
2015-01-07,Puzzle,19.14,Necessities
2020-12-09,Magazine Subscription (Yearly),29.43,Electronics
2016-06-15,Music Instrument,500.66,Electronics
2017-01-20,Art Supplies,24.02,Necessities
2023-12-07,Groceries,99.99,Necessities
2022-09-01,Toothpaste,3.2,Necessities
2023-04-26,Shampoo,5.98,Necessities
2016-05-11,Toilet Paper (12 rolls),7.04,Household
2023-03-24,Laundry Detergent,10.71,Clothing
2022-10-21,Hand Soap,3.72,Household
2021-08-08,Deodorant,4.09,Necessities
2020-01-16,First Aid Kit,20.03,Necessities
2019-12-18,Batteries (Pack of 4),5.85,Electronics
2023-10-04,Light Bulbs (Pack of 4),7.03,Electronics
2021-06-05,Soccer Ball,25.49,Sports
2016-07-25,Basketball,30.56,Sports
2021-10-21,Tennis Racket,59.72,Sports
2018-07-10,Yoga Mat,19.58,Necessities
2019-09-23,Dumbbells (Pair),40.26,Clothing
2021-10-05,Bicycle Helmet,50.75,Clothing
2021-07-12,Running Shorts,23.58,Clothing
2016-05-28,Swim Goggles,14.62,Clothing
2015-05-13,Baseball Glove,59.45,Sports
2022-12-11,Golf Balls (Pack of 12),20.72,Sports
2019-05-18,Smartphone,800.61,Electronics
2019-06-20,Laptop,999.16,Electronics
2018-04-15,Tablet,500.37,Household
2019-12-27,Smartwatch,249.34,Electronics
2021-06-04,Bluetooth Speaker,99.16,Electronics
2023-09-04,Noise-Cancelling Headphones,199.44,Electronics
2015-07-25,4K Blu-ray Player,150.07,Entertainment
2020-03-04,DSLR Camera,700.32,Electronics
2017-01-22,Gaming Console,499.65,Entertainment
2020-02-21,E-Reader,130.14,Entertainment
2017-11-04,Winter Jacket,119.97,Household
2017-04-12,Running Shoes,90.39,Necessities
2017-02-18,Jeans,59.29,Clothing
2019-11-09,T-Shirt,19.74,Clothing
2023-05-18,Dress,80.44,Clothing
2023-03-13,Sweater,49.42,Clothing
2017-02-20,Hat,25.2,Household
2018-02-28,Scarf,30.29,Clothing
2022-09-16,Gloves,19.58,Household
2015-05-16,Socks (Pack of 5),14.3,Clothing
2017-06-25,Microwave Oven,150.1,Electronics
2022-05-03,Vacuum Cleaner,199.59,Household
2021-10-28,Blender,59.08,Electronics
2021-02-12,Electric Kettle,29.5,Electronics
2017-02-13,Toaster,23.96,Household
2017-05-19,Coffee Maker,49.7,Household
2018-03-02,Iron,38.97,Household
2023-12-18,Air Purifier,149.14,Electronics
2017-10-28,Stand Mixer,300.34,Electronics
2020-12-16,Dish Soap,3.9,Household
2022-09-09,Movie Tickets (2),25.04,Entertainment
2022-01-28,Board Game,34.99,Necessities
2019-05-04,Streaming Service Subscription (Monthly),12.97,Household
2022-06-08,Concert Ticket,90.21,Entertainment
2022-09-18,Book,15.32,Household
2015-06-19,Video Game,59.89,Entertainment
2023-12-26,Puzzle,19.14,Necessities
2017-07-13,Magazine Subscription (Yearly),29.43,Electronics
2022-10-20,Music Instrument,500.66,Electronics
2023-07-19,Art Supplies,24.02,Necessities
2016-08-22,Groceries,99.99,Necessities
2022-08-25,Toothpaste,3.2,Necessities
2021-01-02,Shampoo,5.98,Necessities
2017-05-26,Toilet Paper (12 rolls),7.04,Household
2017-06-11,Laundry Detergent,10.71,Clothing
2018-11-24,Hand Soap,3.72,Household
2022-12-26,Deodorant,4.09,Necessities
2017-06-12,First Aid Kit,20.03,Necessities
2022-03-09,Batteries (Pack of 4),5.85,Electronics
2021-11-05,Light Bulbs (Pack of 4),7.03,Electronics
2016-12-15,Soccer Ball,25.49,Sports
2018-06-09,Basketball,30.56,Sports
2017-10-06,Tennis Racket,59.72,Sports
2022-01-23,Yoga Mat,19.58,Necessities
2017-05-22,Dumbbells (Pair),40.26,Clothing
2022-09-03,Bicycle Helmet,50.75,Clothing
2021-09-04,Running Shorts,23.58,Clothing
2020-05-09,Swim Goggles,14.62,Clothing
2017-11-22,Baseball Glove,59.45,Sports
2017-08-21,Golf Balls (Pack of 12),20.72,Sports
2017-06-20,Smartphone,800.61,Electronics
2015-01-21,Laptop,999.16,Electronics
2017-12-09,Tablet,500.37,Household
2022-09-28,Smartwatch,249.34,Electronics
2018-03-07,Bluetooth Speaker,99.16,Electronics
2023-09-03,Noise-Cancelling Headphones,199.44,Electronics
2018-09-11,4K Blu-ray Player,150.07,Entertainment
2023-04-24,DSLR Camera,700.32,Electronics
2023-02-03,Gaming Console,499.65,Entertainment
2016-09-07,E-Reader,130.14,Entertainment
2023-01-13,Winter Jacket,119.97,Household
2021-04-25,Running Shoes,90.39,Necessities
2020-01-01,Jeans,59.29,Clothing
2019-02-16,T-Shirt,19.74,Clothing
2018-01-18,Dress,80.44,Clothing
2015-04-02,Sweater,49.42,Clothing
2016-12-22,Hat,25.2,Household
2021-02-22,Scarf,30.29,Clothing
2022-09-03,Gloves,19.58,Household
2020-03-20,Socks (Pack of 5),14.3,Clothing
