Purchase Date,Product Name,Price,Category
2018-10-07,Toothpaste,393.73,Necessities
2023-11-24,Hand Sanitizer,858.93,Necessities
2015-05-14,Hand Sanitizer,474.97,Necessities
2018-11-10,Pencil Set,990.24,Household
2015-11-26,Hair Dryer,416.26,Household
2023-09-17,Sunglasses,23.13,Necessities
2019-06-21,Printer,596.41,Electronics
2020-11-02,Sketchpad,838.15,Household
2015-08-19,Fan Heater,382.2,Entertainment
2021-05-20,Art Supplies,378.67,Necessities
2018-12-13,Smartphone,541.18,Electronics
2019-06-04,Pressure Cooker,829.05,Necessities
2020-06-10,Smart Watch,146.1,Electronics
2015-02-27,Carpet Cleaner,148.25,Household
2016-11-08,Yoga Mat,462.99,Necessities
2016-10-13,Backpack,205.37,Clothing
2017-11-09,Air Purifier,286.73,Electronics
2020-02-18,Desk Chair,745.37,Household
2023-11-12,Soccer Ball,28.97,Sports
2022-10-21,Electric Toothbrush,499.42,Electronics
2023-01-24,LED TV,743.39,Household
2015-10-10,Pencil Set,349.63,Household
2022-12-17,Dishwasher Pods,512.35,Household
2022-01-24,Laptop,62.09,Electronics
2021-05-24,Carpet Cleaner,300.19,Household
2018-05-24,Wireless Headphones,117.0,Electronics
2018-11-10,Soccer Ball,668.31,Sports
2021-06-17,Yoga Mat,577.75,Necessities
2019-03-23,Microwave Oven,919.21,Electronics
2017-03-06,Basketball,297.68,Sports
2015-01-08,Toilet Paper,480.15,Necessities
2022-05-26,LED TV,948.53,Household
2020-01-09,Soccer Ball,420.97,Sports
2023-03-16,Pressure Cooker,262.03,Necessities
2015-05-22,Concert Tickets,474.95,Entertainment
2017-06-09,Electric Toothbrush,818.29,Electronics
2020-06-03,Streaming Subscription,378.93,Entertainment
2015-11-10,Sketchpad,185.96,Household
2019-01-01,Streaming Subscription,829.82,Entertainment
2019-08-28,LED TV,472.3,Household
2020-01-20,Tennis Racket,569.8,Sports
2019-10-21,Toilet Paper,124.56,Necessities
2016-10-28,Dishwasher Pods,71.69,Household
2017-01-06,Standing Desk,279.44,Household
2017-05-08,Bicycle Helmet,650.22,Clothing
2017-04-02,LED TV,362.3,Household
2022-03-15,Music Instrument,377.46,Electronics
2019-10-17,Hair Dryer,924.02,Household
2019-02-18,Groceries,860.7,Necessities
2023-06-28,Groceries,758.82,Necessities
2017-07-18,Gaming Console,686.21,Entertainment
2015-08-14,Smartphone,954.96,Electronics
2020-04-02,Desk Chair,972.99,Household
2016-11-09,Concert Tickets,115.18,Entertainment
2019-03-15,Laptop,824.96,Electronics
2017-06-27,Tennis Racket,145.25,Sports
2022-09-24,Gaming Console,536.58,Entertainment
2017-05-02,Fan Heater,905.44,Entertainment
2019-12-22,Hair Dryer,698.7,Household
2016-11-17,Music Instrument,386.91,Electronics
2015-04-07,Hair Dryer,272.97,Household
2020-04-27,Tennis Racket,41.48,Sports
2020-07-13,Concert Tickets,58.13,Entertainment
2017-08-03,Board Game,571.53,Necessities
2022-04-03,Board Game,735.44,Necessities
2023-10-11,Smartphone,707.55,Electronics
2018-11-20,Smart Watch,687.8,Electronics
2020-01-15,Gaming Console,657.46,Entertainment
2023-12-07,Standing Desk,553.32,Household
2015-02-07,Smartphone,603.48,Electronics
2018-08-25,Garden Tools,739.86,Necessities
2017-07-17,Laundry Detergent,978.62,Clothing
2017-05-25,Electric Toothbrush,267.53,Electronics
2018-03-24,Notebook,798.28,Household
2018-04-12,Sunglasses,124.01,Necessities
2022-04-03,Frying Pan,657.72,Necessities
2020-06-16,Art Supplies,112.65,Necessities
2015-09-04,Basketball,818.48,Sports
2016-12-25,Yoga Mat,354.66,Necessities
2017-03-14,Hand Sanitizer,831.86,Necessities
2022-12-09,Art Supplies,573.9,Necessities
2022-06-18,Frying Pan,618.92,Necessities
2020-05-06,Coffee Maker,509.7,Household
2015-06-23,Fan Heater,707.82,Entertainment
2019-06-20,Winter Jacket,174.91,Household
2018-09-19,Laptop,210.68,Electronics
2022-02-11,Dish Soap,555.92,Household
2020-01-13,Art Supplies,758.69,Necessities
2017-01-27,Air Purifier,18.78,Electronics
2017-07-03,Backpack,500.73,Clothing
2018-03-17,Kitchen Blender,115.35,Entertainment
2018-05-17,Art Supplies,148.45,Necessities
2018-09-04,Air Purifier,861.05,Electronics
2018-01-08,Groceries,247.42,Necessities
2016-11-12,Pencil Set,501.27,Household
2016-07-20,Backpack,119.34,Clothing
2016-06-18,Carpet Cleaner,615.13,Household
2020-10-16,Office Chair,575.44,Necessities
2018-06-08,Desk Chair,154.27,Household
2017-03-20,Desk Chair,450.67,Household
2017-07-27,Vacuum Cleaner,880.77,Household
2016-12-09,Notebook,119.61,Household
2020-02-08,Hand Sanitizer,46.69,Necessities
2021-02-08,Art Supplies,671.5,Necessities
2023-04-16,LED TV,681.74,Household
2022-05-06,Laundry Detergent,687.43,Clothing
2016-04-11,Winter Jacket,963.03,Household
2017-11-25,Vacuum Cleaner,749.64,Household
2023-01-15,Printer,840.59,Electronics
2017-11-23,Hiking Boots,576.72,Clothing
2017-11-05,Garden Tools,485.24,Necessities
2022-10-09,Hair Dryer,802.2,Household
2020-01-25,Basketball,576.45,Sports
2018-09-06,Laundry Detergent,334.58,Clothing
2021-03-07,Smart Watch,612.46,Electronics
2019-11-11,Carpet Cleaner,86.8,Household
2023-07-01,Tablet,826.05,Household
2019-08-25,Concert Tickets,298.52,Entertainment
2015-10-17,Smartphone,371.94,Electronics
2020-09-15,Microwave Oven,986.6,Electronics
2019-03-12,Streaming Subscription,810.86,Entertainment
2017-11-08,Basketball,575.6,Sports
2016-11-10,Running Shoes,884.63,Necessities
2023-06-23,Board Game,992.84,Necessities
2018-07-25,Coffee Maker,194.1,Household
2015-11-09,Winter Jacket,836.27,Household
2015-03-01,Toothpaste,483.08,Necessities
2021-02-26,Laundry Detergent,180.77,Clothing
2020-05-25,Dishwasher Pods,784.73,Household
2022-05-08,Electric Kettle,776.18,Electronics
2020-09-05,Music Instrument,672.27,Electronics
2019-09-14,Standing Desk,682.94,Household
2017-03-14,Smartphone,387.1,Electronics
2023-08-05,Tablet,737.47,Household
2016-04-14,Air Purifier,385.86,Electronics
2018-08-24,Office Chair,898.26,Necessities
2015-05-14,Paint Set,833.08,Household
2023-10-26,Pressure Cooker,342.33,Necessities
2020-04-14,Running Shoes,403.86,Necessities
2022-02-28,Basketball,460.9,Sports
2022-10-06,Dishwasher Pods,667.38,Household
2018-07-10,Groceries,412.45,Necessities
2023-07-13,Toilet Paper,982.02,Necessities
2023-03-05,Wireless Headphones,808.77,Electronics
2017-11-24,Water Bottle,671.99,Necessities
2016-03-19,Pencil Set,960.53,Household
2021-11-11,Movie Tickets,246.8,Necessities
2020-02-21,Movie Tickets,168.14,Necessities
2020-02-26,LED TV,833.07,Household
2023-10-07,Hair Dryer,539.19,Household
2022-06-16,E-Book Reader,479.0,Necessities
2019-09-27,Vacuum Cleaner,947.56,Household
2020-06-17,Wireless Headphones,744.86,Electronics
2023-06-20,Printer,531.05,Electronics
2018-05-18,Vacuum Cleaner,389.28,Household
2020-06-21,Soccer Ball,855.58,Sports
2017-05-23,Camping Tent,420.92,Necessities
2017-10-20,Movie Tickets,594.4,Necessities
2016-05-12,Coffee Maker,790.23,Household
2023-12-16,Music Instrument,448.29,Electronics
2020-05-21,Desk Chair,617.83,Household
2021-12-23,Sketchpad,687.33,Household
2021-02-11,Running Shoes,311.39,Necessities
2023-10-19,Backpack,256.21,Clothing
2021-02-06,Bluetooth Speaker,884.1,Electronics
2016-05-05,Notebook,560.04,Household
2020-07-17,Streaming Subscription,491.9,Entertainment
2015-08-09,Backpack,389.56,Clothing
2019-07-28,Smartphone,860.58,Electronics
2020-05-01,Basketball,150.11,Sports
2017-11-23,Garden Tools,252.13,Necessities
2023-01-27,Laptop,643.65,Electronics
2016-03-07,Frying Pan,932.8,Necessities
2015-03-03,Streaming Subscription,997.34,Entertainment
2022-08-21,Hiking Boots,668.76,Clothing
2019-02-14,Yoga Mat,533.83,Necessities
2017-04-07,Electric Kettle,499.93,Electronics
2022-06-28,Dish Soap,322.93,Household
2020-04-03,Garden Tools,120.01,Necessities
2020-04-15,Laptop,950.64,Electronics
2020-06-16,Pencil Set,424.2,Household
2023-10-28,Toilet Paper,40.35,Necessities
2018-08-23,Art Supplies,799.9,Necessities
2019-07-11,Office Chair,416.61,Necessities
2020-02-20,Toothpaste,705.97,Necessities
2016-08-05,Smart Watch,662.21,Electronics
2016-06-28,Tablet,645.52,Household
2017-12-27,Water Bottle,461.31,Necessities
2023-01-27,Notebook,109.86,Household
2018-07-27,Smart Watch,133.81,Electronics
2018-06-04,Tablet,394.43,Household
2019-02-05,Bluetooth Speaker,137.7,Electronics
2020-04-24,Dish Soap,581.41,Household
2021-11-16,Laundry Detergent,696.03,Clothing
2017-08-26,Electric Kettle,959.32,Electronics
2021-01-15,Backpack,52.09,Clothing
2015-12-19,Standing Desk,942.92,Household
2019-10-19,Bluetooth Speaker,877.71,Electronics
2018-02-06,Yoga Mat,839.75,Necessities
2023-11-21,Hair Dryer,46.33,Household
2020-10-04,Tennis Racket,592.18,Sports
2020-04-06,Frying Pan,907.22,Necessities
2018-01-15,Tennis Racket,700.28,Sports
2022-05-18,Desk Chair,65.18,Household
2018-01-25,Notebook,185.44,Household
2017-11-20,Electric Kettle,970.03,Electronics
2023-12-13,Sketchpad,646.56,Household
2021-06-20,Printer,364.68,Electronics
2018-02-03,Tablet,757.59,Household
2021-12-05,Hand Sanitizer,18.76,Necessities
2017-09-12,Backpack,235.05,Clothing
2020-07-09,Hair Dryer,542.16,Household
2020-02-20,E-Book Reader,476.78,Necessities
2019-09-16,Hiking Boots,382.39,Clothing
2020-01-15,Concert Tickets,777.27,Entertainment
2019-10-28,Kitchen Blender,433.22,Entertainment
2015-01-07,Hair Dryer,790.77,Household
2020-12-09,Hand Sanitizer,25.86,Necessities
2016-06-15,Shampoo,951.96,Necessities
2017-01-20,Hair Dryer,536.05,Household
2023-12-07,Coffee Maker,783.21,Household
2022-09-01,Standing Desk,878.62,Household
2023-04-26,Pencil Set,222.84,Household
2016-05-11,Hair Dryer,716.52,Household
2023-03-24,Tablet,334.66,Household
2022-10-21,Pencil Set,841.22,Household
2021-08-08,Carpet Cleaner,592.25,Household
2020-01-16,Desk Chair,247.74,Household
2019-12-18,Tablet,124.74,Household
2023-10-04,Electric Kettle,37.54,Electronics
2021-06-05,Shampoo,533.43,Necessities
2016-07-25,Streaming Subscription,688.36,Entertainment
2021-10-21,Toilet Paper,756.55,Necessities
2018-07-10,Vacuum Cleaner,733.35,Household
2019-09-23,Hand Sanitizer,410.04,Necessities
2021-10-05,Garden Tools,913.22,Necessities
2021-07-12,Pressure Cooker,705.47,Necessities
2016-05-28,Tennis Racket,882.68,Sports
2015-05-13,Shampoo,145.14,Necessities
2022-12-11,Desk Chair,944.5,Household
2019-05-18,Printer,850.93,Electronics
2019-06-20,Smart Watch,176.01,Electronics
2018-04-15,Concert Tickets,513.7,Entertainment
2019-12-27,Fan Heater,794.84,Entertainment
2021-06-04,Camping Tent,580.14,Necessities
2023-09-04,Laundry Detergent,66.34,Clothing
2015-07-25,Paint Set,905.31,Household
2020-03-04,Sunglasses,962.47,Necessities
2017-01-22,Concert Tickets,869.41,Entertainment
2020-02-21,Sketchpad,955.67,Household
2017-11-04,Camping Tent,242.11,Necessities
2017-04-12,Air Purifier,976.97,Electronics
2017-02-18,Kitchen Blender,626.65,Entertainment
2019-11-09,Sketchpad,947.57,Household
2023-05-18,Kitchen Blender,435.27,Entertainment
2023-03-13,Dish Soap,963.63,Household
2017-02-20,Pressure Cooker,429.38,Necessities
2018-02-28,Hair Dryer,523.49,Household
2022-09-16,Camping Tent,439.05,Necessities
2015-05-16,LED TV,420.9,Household
2017-06-25,Printer,893.94,Electronics
2022-05-03,Soccer Ball,407.08,Sports
2021-10-28,Concert Tickets,749.06,Entertainment
2021-02-12,Art Supplies,676.25,Necessities
2017-02-13,Sunglasses,612.4,Necessities
2017-05-19,Pencil Set,809.99,Household
2018-03-02,Office Chair,621.85,Necessities
2023-12-18,Smart Watch,607.35,Electronics
2017-10-28,Tennis Racket,199.62,Sports
2020-12-16,Pressure Cooker,685.13,Necessities
2022-09-09,Hand Sanitizer,350.78,Necessities
2022-01-28,Shampoo,394.96,Necessities
2019-05-04,Sketchpad,706.74,Household
2022-06-08,Running Shoes,940.48,Necessities
2022-09-18,Garden Tools,218.96,Necessities
2015-06-19,Concert Tickets,356.5,Entertainment
2023-12-26,Toilet Paper,126.09,Necessities
2017-07-13,Fan Heater,258.37,Entertainment
2022-10-20,Sunglasses,288.34,Necessities
2023-07-19,Basketball,244.37,Sports
2016-08-22,Running Shoes,569.26,Necessities
2022-08-25,LED TV,326.83,Household
2021-01-02,Tablet,777.27,Household
2017-05-26,Frying Pan,87.46,Necessities
2017-06-11,Winter Jacket,397.49,Household
2018-11-24,Backpack,871.9,Clothing
2022-12-26,Coffee Maker,277.83,Household
2017-06-12,Notebook,926.64,Household
2022-03-09,Standing Desk,633.78,Household
2021-11-05,Laundry Detergent,289.41,Clothing
2016-12-15,Groceries,260.74,Necessities
2018-06-09,Bicycle Helmet,668.1,Clothing
2017-10-06,Frying Pan,55.47,Necessities
2022-01-23,Running Shoes,237.38,Necessities
2017-05-22,Frying Pan,414.55,Necessities
2022-09-03,Carpet Cleaner,858.2,Household
2021-09-04,Sketchpad,461.74,Household
2020-05-09,Art Supplies,750.16,Necessities
2017-11-22,Dishwasher Pods,343.71,Household
2017-08-21,Hair Dryer,168.89,Household
2017-06-20,Frying Pan,912.92,Necessities
2015-01-21,Carpet Cleaner,502.94,Household
2017-12-09,Shampoo,898.78,Necessities
2022-09-28,Movie Tickets,769.81,Necessities
2018-03-07,LED TV,138.24,Household
2023-09-03,Bluetooth Speaker,904.17,Electronics
2018-09-11,Kitchen Blender,625.1,Entertainment
2023-04-24,LED TV,424.63,Household
2023-02-03,E-Book Reader,483.89,Necessities
2016-09-07,Soccer Ball,158.16,Sports
2023-01-13,Shampoo,419.63,Necessities
2021-04-25,Frying Pan,776.68,Necessities
2020-01-01,Gaming Console,68.66,Entertainment
2019-02-16,Hiking Boots,698.06,Clothing
2018-01-18,Groceries,316.08,Necessities
2015-04-02,Kitchen Blender,825.35,Entertainment
2016-12-22,Dishwasher Pods,475.6,Household
2021-02-22,Printer,250.92,Electronics
2022-09-03,Desk Chair,822.62,Household
2020-03-20,Music Instrument,676.69,Electronics
